Date,Month,Year,Title,Director,Cast,Genre,Budget,Box Office
25,Aug,2017,Qaidi Band,Habib Faisal,"Aadar Jain, Anya Singh, Sachin, Prince Parvinder Singh","Musical,Drama",200,4
11,Aug,2017,Toilet: Ek Prem Katha,Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Anupam Kher, Sana Khan","Comedy,Drama",400,1342.5
25,Aug,2017,Yadvi – The Dignified Princess,Jyoti Singh,"Chandrachur Singh, Charu Vyas, Rahul Godara, Jyoti Singh, Vibhu Raghave, Namya Saxena, Nikkitasha Marwaha, Reshaa Sabarawal, Mini Pandit, Ashwarya Singh",Drama,0,0
18,Aug,2017,Yeh Hai India,Lom Harsh,"Gavie Chahal, Deana Uppal, Mohan Agashe, Mohan Joshi","Patriotic,Drama",0,0
1,Sep,2017,Baadshaho,Milan Lutharia,"Ajay Devgn, Emraan Hashmi, Vidyut Jammwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone Guest appearance in song, Sharad Kelkar, Ravi Kale","Action,crime Thriller",1000,781
22,Sep,2017,Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Sidhant Gupta","Action,Drama",300,106.5
8,Sep,2017,Daddy,Ashim Ahluwalia,"Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat, Anand Ingale, Rajesh Shringarpure, Purnanand Wandekar, Anupriya Goenka, Shruti Bapna, Usha Naik, Shrikant Yadav, Deepak Damle, Raj Arjun, Vijay Sanap, Abhimanyu Arun","Crime,Drama",150,81
22,Sep,2017,Haseena Parkar,Apoorva Lakhia,"Shraddha Kapoor, Sharman Joshi, Siddhanth Kapoor, Rajesh Tailang, Satendra Bagasi, Ankur Bhatia",Biographic Thriller,250,80.5
22,Sep,2017,JD,Shailendra Pandey,"Govind Namdev, Aman Verma, Vedita Pratap Singh, Lalit Bisht, Arvind Gaur","Drama,Thriller",0,0
29,Sep,2017,Judwaa 2,David Dhawan,"Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu, Anupam Kher, Sachin Khedekar, Upasana Singh, Rajpal Yadav, Pavan Malhotra, Ali Asgar, Vivan Bhatena, Vikas Verma, Johnny Lever, Rajat Rawail, Salman Khan (cameo)","Action,Comedy",750,1386
15,Sep,2017,Lucknow Central,Ranjit Tiwari,"Farhan Akhtar, Diana Penty, Deepak Dobriyal, Gippy Grewal, Ronit Roy, Inaamulhaq, Rajesh Sharma",Drama,320,112
22,Sep,2017,Newton,Amit Masurkar,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghuvir Yadav",Dark Comedy,140,228
15,Sep,2017,Patel Ki Punjabi Shaadi,Sanjay Chhel,"Rishi Kapoor, Paresh Rawal, Vir Das, Prem Chopra, Payal Ghosh, Jinal Belani, Divya Seth, Bharati Achrekar, Tiku Talsania, Shilpa Shinde","Comedy,Drama",0,0
8,Sep,2017,Poster Boys,Shreyas Talpade,"Sunny Deol, Shreyas Talpade, Bobby Deol, Sonali Kulkarni, Randheer Rai, Dilip Prabhavalkar, Elli AvrRam Special Appearance In A Song, Samiksha Bhatnagar, Bharati Achrekar",Comedy,250,127.5
1,Sep,2017,Shubh Mangal Savdhan,R.S. Prasanna,"Ayushmann Khurrana, Bhumi Pednekar, Brijendra Kala, Shubhankar Tripathi, Anshul Chauhan, Anmol Bajaj","Drama,Comedy",240,431
15,Sep,2017,Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Hiten Kumar, Kishori Shahane, Rupinder Nagra",Drama,300,172.5
22,Sep,2017,The Final Exit,Dhwanil Mehta,"Kunaal Roy Kapur, Archana Shastry, Elena Kazan, Reyhna Malhotra, Scarlett Wilson",Horror,42,12
6,Oct,2017,Babu Ji Ek Ticket Bambai,Arvind Tripathi,"Rajpal Yadav, Sudha Chandran, Bharati Sharma, Milind Gunaji",Social Drama,45,0.14
6,Oct,2017,Chef,Raja Krishna Menon,"Saif Ali Khan, Padmapriya Janakiraman , Dhanish Karthik",Comedy,300,64
6,Oct,2017,Deepak,Milind Dhaimade,"Barun Sobti , Vishal Malhotra",Romantic Comedy,0,0
20,Oct,2017,Golmaal Again,Rohit Shetty,"Ajay Devgn, Parineeti Chopra, Tabu, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Kunal Khemu, Prakash Raj, Rohit KaduDeshmukh and Neil Nitin Mukesh",Comedy,1000,2057
27,Oct,2017,Jia aur Jia,Howard Rosemeyer,"Kalki Koechlin, Richa Chaddha",Drama,50,9
6,Oct,2017,Mein Terrorist Nahi Hoon,Arjin Uppal,"Gulshan Grover, Rahul Dev, Afiq Muiz, Chacha Maembong, Farida Jalal",Action,50,23.1
13,Oct,2017,Ranchi Diaries,Sattwik Mohanty,"Jimmy Sheirgill, Taaha Shah , Himansh Kohli","Drama,Thriller",0,0
27,Oct,2017,Rukh,Atanu Mukherjee,"Manoj Bajpayee, Smita Tambe, Kumud Mishra, Adarsh Gourav",Drama,50,6.5
19,Oct,2017,Secret Superstar,Advait Chandan,"Zaira Wasim, Meher Vij , Aamir Khan",Musical Drama,500,634
