Release Date,Month,Title,Director,Cast,Genre,Studio,Budget,Box Office
22,Sep,The Final Exit,Dhwanil Mehta,"Kunaal Roy Kapur, Archana Shastry, Elena Kazan, Reyhna Malhotra, Scarlett Wilson",Horror,Mars Entertainment,42,12
29,Sep,Judwaa 2,David Dhawan,"Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu, Anupam Kher, Sachin Khedekar, Upasana Singh, Rajpal Yadav, Pavan Malhotra, Ali Asgar, Vivan Bhatena, Vikas Verma, Johnny Lever, Rajat Rawail, Salman Khan (cameo)","Action,Comedy",Nadiadwala Grandson Entertainment,750,1386
06,Oct,Babu Ji Ek Ticket Bambai,Arvind Tripathi,"Rajpal Yadav, Sudha Chandran, Bharati Sharma, Milind Gunaji",Social Drama,Harikripa Films,45,0.14
06,Oct,Chef,Raja Krishna Menon,"Saif Ali Khan, Padmapriya Janakiraman , Dhanish Karthik",Comedy,T Series and Abundantia Entertainment Bandra West Pictures,300,64
06,Oct,Deepak,Milind Dhaimade,"Barun Sobti , Vishal Malhotra",Romantic Comedy,Love and Faith,0,0
06,Oct,Mein Terrorist Nahi Hoon,Arjin Uppal,"Gulshan Grover, Rahul Dev, Afiq Muiz, Chacha Maembong, Farida Jalal",Action,N.A,50,23.1
13,Oct,Ranchi Diaries,Sattwik Mohanty,"Jimmy Sheirgill, Taaha Shah , Himansh Kohli","Drama,Thriller",Coconut Motion Pictures,0,0
19,Oct,Secret Superstar,Advait Chandan,"Zaira Wasim, Meher Vij , Aamir Khan",Musical Drama,Aamir Khan Productions,500,634
20,Oct,Golmaal Again,Rohit Shetty,"Ajay Devgn, Parineeti Chopra, Tabu, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Kunal Khemu, Prakash Raj, Rohit KaduDeshmukh and Neil Nitin Mukesh",Comedy,Mangal Murti Films and Reliance Entertainment,1000,2057
27,Oct,Jia aur Jia,Howard Rosemeyer,"Kalki Koechlin, Richa Chaddha",Drama,Bluefox Motion Pictures Pvt Ltd.,50,9
27,Oct,Rukh,Atanu Mukherjee,"Manoj Bajpayee, Smita Tambe, Kumud Mishra, Adarsh Gourav",Drama,Eros InternationalDrishyam Films,50,6.5
03,Nov,Ittefaq,Abhay Chopra,"Sidharth Malhotra, Sonakshi Sinha , Akshaye Khanna",Thriller,"Dharma Productions, Red Chillies Entertainment and B.R Films",240,302
03,Nov,Ribbon,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas, Hitesh Malhan",Drama,Red Cart Films,0,0
03,Nov,The House Next Door,Milind Rau,"Siddharth, Andrea Jeremiah , Atul Kulkarni",Horror,Viacom 18 Motion Pictures and Etaki Entertainment,150,200
10,Nov,Qarib Qarib Singlle,Tanuja Chandra,"Irrfan Khan, Parvathy, Brijendra Kala","Romance,Comedy",Zee Studios and Jar Pictures,200,170.5
10,Nov,Shaadi Mein Zaroor Aana,Ratnaa Sinha,"Rajkummar Rao, Kriti Kharbanda","Romance,Drama",Vikrant Studios,150,110
10,Nov,The Window,VK Choudhary,"Amit Kumar Vashisth, Teena Singh , Preeti Sharma",Suspense Thriller,"Adamant Pictures, Milestone Creations and Era Films",0,0
17,Nov,Aksar 2,Ananth Narayan Mahadevan,"Zareen Khan, Gautam Rode, Abhinav Shukla, Mohit Madaan",Thriller, Siddhi Vinayak Creation,180,56
17,Nov,Dil Jo Na Keh Saka,Naresh Lalwani,"Himansh Kohli, Priya Banerjee",Romantic Drama,Diyas Productions,100,1
17,Nov,Panchlait,Prem Prakash Modi,"Amitosh Nagpal, Anuradha Mukherjee , Yashpal Sharma",Romantic Comedy,Funtime Entertainment,0,0.3
17,Nov,Tumhari Sulu,Ruchi Chaudhari,"Vidya Balan , Manav Kaul","Social,Comedy",T Series,200,361.5
24,Nov,Ajji,Devashish Makhija,"Sudhir Pandey, Sushma Deshpande",Drama,Yoodlee Films,12,0
24,Nov,Julie 2,Deepak Shivdasani,"Raai Laxmi, Ravi Kishan , Aditya Srivastava",Erotic Thriller,Triumph Talkies,200,22.5
24,Nov,Kadvi Hawa,Nila Madhab Panda,"Sanjay Mishra, Ranvir Shorey, Tillotama Shome, Bupesh Singh, Ekta Sawant","Drama,disaster",Drishyam Films,0,2.5
28,Nov,Saankal,Dedipya Joshii,"Tanima Bhattacharya, Chetan Sharma, Harish Hariaudh",Drama,Pisceann Pictures,150,9.5
01,Dec,Firangi,Rajiv Dhingra,"Kapil Sharma, Varun Badola , Edward Sonnenblick",Comedy,K9 Films,450,102.7
01,Dec,Tera Intezaar,Raajeev Waalia,"Arbaaz Khan , Sunny Leone",Romantic Thriller,Bageshree Films,200,20.7
08,Dec,Fukrey Returns,Mrighdeep Singh Lamba,"Pulkit Samrat, Priya Anand , Varun Sharma",Comedy,Excel Entertainment,300,1208.3
08,Dec,Game Over,Paresh Vinodray Savani,"Rajesh Sharma, Yashpal Sharma, Gurleen Chopra","Suspense,Thriller","Dream Machine, Koning Entertainment and Dream International",73,50
08,Dec,Sallu ki Shaadi,Mohammad Israr Ansari,"Zeenat Aman, Kiran Kumar, Asrani, Kshayp, Arshin and Sandeep Anand",Comedy Drama,"Aman Film Production, Angel's Production, Brosis Production House, Worldwide Records",50,0
15,Dec,Monsoon Shootout,Amit Kumar,"Nawazuddin Siddiqui, Vijay Varma , Tannishtha Chatterjee","Crime,Thriller",Sikhya Entertainment,100,10
22,Dec,Tiger Zinda Hai,Ali Abbas Zafar,"Salman Khan , Katrina Kaif","Action,Drama",Yash Raj Films,2100,5450
