,Release Date,Title,Director,Cast,Genre,Studio
89,29-Sep,Judwaa 2,David Dhawan,"Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu, Anupam Kher, Sachin Khedekar, Upasana Singh, Rajpal Yadav, Pavan Malhotra, Ali Asgar, Vivan Bhatena, Vikas Verma, Johnny Lever, Rajat Rawail, Salman Khan (cameo)","Action,comedy",Nadiadwala Grandson Entertainment
90,06-Oct,Deepak,Milind Dhaimade,"Barun Sobti , Vishal Malhotra",Romantic comedy,Love and Faith
91,06-Oct,Chef,Raja Krishna Menon,"Saif Ali Khan, Padmapriya Janakiraman , Dhanish Karthik",Comedy,T Series and Abundantia Entertainment Bandra West Pictures
92,06-Oct,Babu Ji Ek Ticket Bambai,Arvind Tripathi,"Rajpal Yadav, Sudha Chandran, Bharati Sharma, Milind Gunaji",Social drama,Harikripa Films
93,06-Oct,Mein Terrorist Nahi Hoon,Arjin Uppal,"Gulshan Grover, Rahul Dev, Afiq Muiz, Chacha Maembong, Farida Jalal",Action,N.A
94,13-Oct,Ranchi Diaries,Sattwik Mohanty,"Jimmy Sheirgill, Taaha Shah , Himansh Kohli","Drama,thriller",Coconut Motion Pictures
95,19-Oct,Secret Superstar,Advait Chandan,"Zaira Wasim, Meher Vij , Aamir Khan",Musical drama,Aamir Khan Productions
96,20-Oct,Golmaal Again,Rohit Shetty,"Ajay Devgn, Parineeti Chopra, Tabu, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Kunal Khemu, Prakash Raj, Rohit KaduDeshmukh and Neil Nitin Mukesh",Comedy,Mangal Murti Films and Reliance Entertainment
97,27-Oct,Jia aur Jia,Howard Rosemeyer,"Kalki Koechlin, Richa Chaddha",Road film,Bluefox Motion Pictures Pvt Ltd.
98,27-Oct,Rukh,Atanu Mukherjee,"Manoj Bajpayee, Smita Tambe, Kumud Mishra, Adarsh Gourav",Drama,Eros InternationalDrishyam Films
99,03-Nov,Ittefaq,Abhay Chopra,"Sidharth Malhotra, Sonakshi Sinha , Akshaye Khanna",Thriller,"Dharma Productions, Red Chillies Entertainment and B.R Films"
100,03-Nov,The House Next Door,Milind Rau,"Siddharth, Andrea Jeremiah , Atul Kulkarni",Horror,Viacom 18 Motion Pictures and Etaki Entertainment
